# REMOVE from the cn category: delegated to a non-CN country per RIR data.
# Owners include Apple (17/8), Cloudflare (104.28/16), AWS, Microsoft, Cisco, Nokia, Siemens.
104.28.209.224/29  # US:8
104.28.240.128/29  # US:8
104.28.241.224/29  # US:8
131.253.12.0/29  # US:8
131.253.12.240/29  # US:8
15.248.5.228/30  # US:4
64.235.230.152/30  # US:4
103.24.83.236/30  # IN:4
104.28.43.36/30  # US:4
104.28.66.76/30  # US:4
104.28.66.88/30  # US:4
104.28.69.76/30  # US:4
104.28.69.88/30  # US:4
104.28.83.4/30  # US:4
104.28.83.40/30  # US:4
104.28.83.68/30  # US:4
104.28.83.72/30  # US:4
104.28.99.44/30  # US:4
104.28.99.56/30  # US:4
104.28.101.44/30  # US:4
104.28.101.56/30  # US:4
104.28.117.76/30  # US:4
104.28.117.100/30  # US:4
104.28.117.104/30  # US:4
104.28.120.76/30  # US:4
104.28.120.100/30  # US:4
104.28.120.104/30  # US:4
104.28.192.16/30  # US:4
104.28.192.132/30  # US:4
104.28.192.200/30  # US:4
104.28.193.36/30  # US:4
104.28.193.104/30  # US:4
104.28.195.20/30  # US:4
104.28.195.196/30  # US:4
104.28.197.96/30  # US:4
104.28.198.172/30  # US:4
104.28.199.200/30  # US:4
104.28.204.184/30  # US:4
104.28.207.248/30  # US:4
104.28.208.28/30  # US:4
104.28.208.68/30  # US:4
104.28.208.136/30  # US:4
104.28.208.148/30  # US:4
104.28.209.248/30  # US:4
104.28.211.8/30  # US:4
104.28.211.44/30  # US:4
104.28.212.132/30  # US:4
104.28.212.136/30  # US:4
104.28.213.172/30  # US:4
104.28.213.200/30  # US:4
104.28.216.52/30  # US:4
104.28.216.56/30  # US:4
104.28.216.132/30  # US:4
104.28.216.136/30  # US:4
104.28.216.192/30  # US:4
104.28.219.48/30  # US:4
104.28.219.112/30  # US:4
104.28.220.208/30  # US:4
104.28.221.4/30  # US:4
104.28.222.60/30  # US:4
104.28.223.76/30  # US:4
104.28.223.164/30  # US:4
104.28.223.180/30  # US:4
104.28.223.200/30  # US:4
104.28.224.16/30  # US:4
104.28.224.132/30  # US:4
104.28.224.200/30  # US:4
104.28.225.36/30  # US:4
104.28.225.104/30  # US:4
104.28.227.20/30  # US:4
104.28.227.196/30  # US:4
104.28.229.96/30  # US:4
